Student_ID,Student_Name,Study_Hours,Attendance,Assignment_Score,Final_Marks,Result
109,Jessica Brown,6,59,86,69,Pass
110,Anthony Ross,3,76,52,57,Fail
111,Patrick Hughes,1,61,84,52,Fail
112,Joseph Hart,3,56,55,45,Fail
113,Rachel Mitchell,5,66,47,61,Pass
114,Mariah Bradley,3,50,82,56,Fail
115,Sharon Perkins,1,99,47,52,Fail
116,Holly Murphy,5,75,93,65,Pass
117,Jessica Jensen,10,64,49,64,Pass
118,Michelle Lucas,7,100,94,100,Pass
119,Terry Rodriguez,7,82,72,83,Pass
120,Sarah White,9,86,70,83,Pass
121,Denise Proctor,10,96,51,68,Pass
122,Dennis Sanchez,10,80,48,67,Pass
123,Laura Washington,3,84,76,58,Fail
124,Ronald Ingram,7,50,48,48,Fail
125,Timothy Pratt,1,57,87,53,Fail
126,Shawn Jones,4,61,57,57,Fail
127,William Banks,4,68,69,57,Fail
128,Steven Morales,5,74,71,64,Pass
129,William Clayton,7,81,79,75,Pass
130,Catherine Leonard,7,61,62,69,Pass
131,Troy Cobb,4,62,50,55,Fail
132,Angela Gonzalez,7,77,59,69,Pass
133,Monica Turner,3,50,58,54,Fail
134,Jonathan Anderson,6,100,75,76,Pass
135,Jennifer Jones,2,55,91,68,Pass
136,Daniel Hamilton,10,57,65,70,Pass
137,Gavin Jackson,9,53,49,53,Fail
138,Jason Castro,5,54,63,50,Fail
139,Anthony Peterson,6,74,52,54,Fail
140,Lindsey Marks DDS,4,71,100,70,Pass
141,Jason Weaver,10,77,91,95,Pass
142,Kathryn Smith,7,88,85,79,Pass
143,Jessica Sullivan,9,72,92,79,Pass
144,Regina Stevens,7,53,73,59,Fail
145,John Powell,1,53,68,46,Fail
146,Denise Garcia,1,96,75,69,Pass
147,Marc Byrd,9,70,46,68,Pass
148,Deborah Sosa,9,86,90,94,Pass
149,Michael Holt,4,90,69,69,Pass
150,Mrs. Valerie Duarte,9,51,56,57,Fail
151,Whitney Haney,3,56,87,64,Pass
152,Alicia Davidson DDS,7,98,52,66,Pass
153,Shelley Flowers,6,65,95,73,Pass
154,Joseph Davis,8,66,63,65,Pass
155,Rachel Brennan,9,69,93,84,Pass
156,Caleb Evans,5,72,94,73,Pass
157,Veronica Young,1,83,70,54,Fail
158,Jenna Brown,3,60,97,64,Pass
159,Amber Johnson,10,83,66,83,Pass
160,Luis Stewart,8,82,89,83,Pass
161,Doris Miller,6,75,60,64,Pass
162,Madison Ellis,8,51,83,82,Pass
163,Bryan Johnson,9,72,94,91,Pass
164,Leslie Matthews,4,90,96,75,Pass
165,Samuel Taylor,1,71,40,41,Fail
166,Shannon Smith,1,83,54,50,Fail
167,Elizabeth Garner,10,64,42,66,Pass
168,Tina Brown,4,59,45,48,Fail
169,Carol Allen,7,64,53,62,Pass
170,Jeffrey Harris,2,91,94,70,Pass
171,Theresa Gillespie,3,78,77,60,Pass
172,Jenny Clayton,1,72,72,51,Fail
173,Kimberly Browning,5,66,91,63,Pass
174,Jenny Brooks,1,58,77,55,Fail
175,Elizabeth Stein,8,99,47,75,Pass
176,William Young,1,85,65,65,Pass
177,Amanda Chavez,1,58,54,36,Fail
178,Matthew Jones,2,65,53,45,Fail
179,Tracy Burke,2,85,87,72,Pass
180,Margaret Kaiser,6,97,59,72,Pass
181,Karl Barajas,7,100,94,97,Pass
182,Edgar Mckinney,5,82,87,82,Pass
183,Nicole Cook,1,80,98,54,Fail
184,Stephen Booth,1,55,58,44,Fail
185,William Wilson,3,59,95,66,Pass
186,Julia Parks,2,65,72,54,Fail
187,Richard Willis,5,53,75,59,Fail
188,Richard Ortiz,10,71,63,84,Pass
189,Victoria Raymond,6,62,49,56,Fail
190,Laura Price,7,65,91,61,Pass
191,Patricia Kane,4,78,89,69,Pass
192,Michael Gill,7,55,73,77,Pass
193,Sarah Reed,8,75,75,71,Pass
194,Brenda Gonzalez,1,60,86,61,Pass
195,Crystal Michael,6,73,100,85,Pass
196,Alan Watson,8,78,75,76,Pass
197,Janet Collins,5,52,55,54,Fail
198,Jamie Peters,4,59,54,51,Fail
199,Jennifer Carter,2,50,57,41,Fail
200,Daniel Avila,6,92,46,61,Pass
201,Karen Hansen,6,75,86,82,Pass
202,Mason Spence,1,61,61,45,Fail
203,Billy Parker,9,63,71,70,Pass
204,John Burgess,6,74,82,76,Pass
205,Claire Carter,3,57,58,51,Fail
206,Willie Smith,4,92,79,64,Pass
207,Christine Brown,4,53,95,63,Pass
208,Kevin Torres,3,77,40,40,Fail
209,Darlene Clark,10,56,74,89,Pass
210,Seth Chapman,3,59,44,42,Fail
211,Laura Smith,3,100,89,71,Pass
212,Danielle Barry,4,85,51,55,Fail
213,Teresa Evans,7,51,51,53,Fail
214,Deborah Erickson,4,75,60,58,Fail
215,Scott Scott,9,99,98,100,Pass
216,Crystal Hudson,1,63,97,61,Pass
217,Mark Smith,8,65,58,60,Pass
218,Claudia Elliott,7,92,48,62,Pass
219,Victoria Marquez,2,91,82,67,Pass
220,Jesse Vargas,8,66,88,75,Pass
221,Michele Reid,1,95,87,65,Pass
222,Cody Freeman,9,71,75,92,Pass
223,Roy Freeman,9,53,81,70,Pass
224,David Mendez,2,68,93,56,Fail
225,Susan Wilson,7,51,86,67,Pass
226,Daniel Wilkinson,10,88,96,86,Pass
227,Chloe Dean,3,58,90,69,Pass
228,Christopher White,7,68,71,64,Pass
229,Margaret Allen,10,65,74,74,Pass
230,Michael Thomas,9,74,70,71,Pass
231,Shannon Martinez,4,97,99,72,Pass
232,Michael Thomas,1,67,92,60,Pass
233,Cody Davis,2,72,94,61,Pass
234,Adam White,1,70,71,43,Fail
235,Jonathan Brown,5,60,76,62,Pass
236,William Miller,5,88,71,72,Pass
237,Kim Scott,7,90,82,79,Pass
238,Dr. Madison Gutierrez,9,53,95,84,Pass
239,Jill Browning,9,74,76,88,Pass
240,Laura Benson,3,81,78,69,Pass
241,Matthew Miller,3,79,77,65,Pass
242,Holly Kim,3,94,69,69,Pass
243,Katherine Mccullough,4,75,97,84,Pass
244,William Young,8,85,71,71,Pass
245,Karen Foster,6,100,84,85,Pass
246,Jaclyn Aguilar,8,83,41,60,Pass
247,Alexis King,1,58,90,58,Fail
248,Michael Walter,8,61,50,56,Fail
249,Brandon Stone,4,51,98,70,Pass
250,Travis Chavez,1,87,59,54,Fail
251,Joseph Mullen,8,54,76,78,Pass
252,Beth Baker,4,54,48,46,Fail
253,Jamie Thornton,6,71,77,69,Pass
254,Taylor Cook,8,54,88,74,Pass
255,Shannon Warren,4,53,58,63,Pass
256,Cheyenne Guerrero,3,58,94,67,Pass
257,Jesus Buckley,9,78,79,89,Pass
258,Tammy Rodriguez,3,71,46,52,Fail
259,Mark Nguyen,9,76,44,72,Pass
260,Stacy Ruiz,2,59,86,51,Fail
261,Nichole Combs,2,65,81,55,Fail
262,Dakota Sawyer,2,91,63,55,Fail
263,Andrew Nash,6,91,87,80,Pass
264,Samantha Smith,3,100,80,70,Pass
265,Robert Bradley,9,59,46,55,Fail
266,Thomas Pena,4,55,50,49,Fail
267,John Payne,1,98,48,42,Fail
268,Jennifer Robinson,4,54,88,67,Pass
269,Stacey Frazier,1,55,69,48,Fail
270,Jeffery Mann,5,96,80,82,Pass
271,Craig Gonzales,4,74,42,52,Fail
272,Russell Hartman,8,100,61,76,Pass
273,Shawna Foster,8,99,79,77,Pass
274,Patricia Warner,7,53,90,71,Pass
275,Ebony Frank,3,89,59,55,Fail
276,Catherine Atkinson,1,97,71,62,Pass
277,Scott Martin,1,81,87,60,Pass
278,Erica Johnson,3,100,46,60,Pass
279,Jennifer Flores,6,84,99,90,Pass
280,Linda Shelton,7,59,46,50,Fail
281,Jason Wallace,6,83,59,66,Pass
282,Sarah Hudson,6,85,64,69,Pass
283,Luis Hill,6,55,84,70,Pass
284,Michelle Snyder,3,92,74,70,Pass
285,Kristen Armstrong,6,95,83,88,Pass
286,Karen Moses,8,65,63,63,Pass
287,Shannon Hill,2,68,79,50,Fail
288,Jerry Andrews,5,83,52,62,Pass
289,Steve Myers,1,74,91,64,Pass
290,Sarah Love,1,80,87,65,Pass
291,Chase Moore,5,98,78,72,Pass
292,Jacob Wagner,3,90,43,45,Fail
293,Keith Wright,4,66,100,78,Pass
294,Angela Middleton,3,96,51,61,Pass
295,Nicholas Martin,1,79,56,47,Fail
296,Alexis Gomez,1,88,40,35,Fail
297,Bernard Schmidt,5,80,56,58,Fail
298,Jared Werner,6,68,41,58,Fail
299,Dana Atkinson,3,84,45,54,Fail
300,Sarah Mendez,9,78,83,77,Pass
301,Nancy Blankenship,5,50,97,72,Pass
302,Laura Jones,8,53,50,59,Fail
303,Andrea Diaz,1,77,92,69,Pass
304,Dr. Latoya Williams DVM,5,67,82,64,Pass
305,Gina Brooks,3,75,57,51,Fail
306,Jose Miranda,1,89,79,62,Pass
307,Tonya Wilson,4,68,64,56,Fail
308,Michael Carter,5,55,78,58,Fail
309,Michelle Pennington,7,50,67,72,Pass
310,Chad Hernandez,1,57,85,61,Pass
311,Dennis Woodard,3,82,55,51,Fail
312,James Rice,2,100,51,58,Fail
313,Madeline Whitaker,9,92,80,79,Pass
314,Vanessa Joseph,10,70,91,96,Pass
315,Darrell Rodriguez,6,73,68,71,Pass
316,Robin Riley,10,74,62,82,Pass
317,Bill Duncan,3,96,60,61,Pass
318,Jeffrey Thornton,8,92,55,79,Pass
319,Christian Logan,8,68,92,87,Pass
320,Larry James,2,78,90,65,Pass
321,Dennis Taylor,6,59,87,65,Pass
322,Ian Medina,7,61,80,73,Pass
323,Andrea Davis,2,82,84,64,Pass
324,Mr. James Evans Jr.,10,56,65,82,Pass
325,Dr. Maria Glover,2,66,76,56,Fail
326,Andrew Munoz,10,59,61,73,Pass
327,Karen Richards,1,80,90,67,Pass
328,Kim Sanders,8,55,49,60,Pass
329,Joshua Davidson,1,66,46,45,Fail
330,John Moore,9,99,48,73,Pass
331,Linda Gomez,6,86,64,64,Pass
332,James Russo,7,67,85,71,Pass
333,Robert Patel,10,75,54,72,Pass
334,David Perez,7,98,52,72,Pass
335,Theresa Barrera,10,65,81,84,Pass
336,Christine Bennett,3,57,85,62,Pass
337,Austin Newton,2,73,65,54,Fail
338,Eugene Hudson,9,62,60,64,Pass
339,Angela Hampton,8,78,62,76,Pass
340,Lori Walker,10,81,100,87,Pass
341,Candice Elliott,7,73,83,70,Pass
342,Mrs. Cindy Madden,9,65,67,74,Pass
343,Mitchell Hutchinson,4,60,100,74,Pass
344,Gabriel Stone,4,81,90,75,Pass
345,Manuel Lamb,1,55,77,50,Fail
346,Gregory Bruce,8,84,51,72,Pass
347,Renee Davis,3,82,63,53,Fail
348,Shannon Mendoza,7,67,52,59,Fail
349,Elizabeth Perez,2,86,79,61,Pass
350,Aaron Perry,2,62,87,55,Fail
351,Ann Young,7,59,41,53,Fail
352,Dustin Wade,6,86,93,80,Pass
353,Katherine Brown,3,75,78,60,Pass
354,Phyllis Manning,9,95,51,75,Pass
355,Veronica Hernandez,10,66,78,67,Pass
356,Ashley King,6,50,90,71,Pass
357,William Gardner,10,74,53,71,Pass
358,Angel Bailey,10,83,69,80,Pass
359,Kenneth Stephens,6,88,80,69,Pass
360,Gary Williams,1,59,89,64,Pass
361,Raymond Nguyen,4,69,82,73,Pass
362,Kevin Wang,10,56,87,73,Pass
363,Brandon Jones,6,65,58,60,Pass
364,Roger Gomez,6,86,70,76,Pass
365,Rachel Foster,5,78,82,69,Pass
366,Sabrina Kane,1,61,89,54,Fail
367,Laura Frank,8,66,82,73,Pass
368,Victoria Callahan,5,97,64,71,Pass
369,Kelly Salinas,5,69,43,66,Pass
370,Phillip Walker,7,75,89,83,Pass
371,Richard Barker,4,97,90,72,Pass
372,Christine Davis,6,68,52,56,Fail
373,Andrea Martinez,4,96,75,69,Pass
374,Kevin Cunningham,3,61,81,55,Fail
375,Ann Hughes,7,70,100,77,Pass
376,John Evans,8,91,93,92,Pass
377,Nancy Anderson,4,83,76,65,Pass
378,Samantha Lynch,2,56,42,41,Fail
379,Ronnie Morris,10,94,55,89,Pass
380,Jessica Smith,3,84,65,58,Fail
381,Gregory Rodriguez,1,64,79,55,Fail
382,Tanya Walsh,8,50,95,72,Pass
383,Nathan Cross,3,75,78,65,Pass
384,Felicia Wells,10,84,58,85,Pass
385,Tiffany Munoz,7,74,85,83,Pass
386,David Stewart,10,91,54,79,Pass
387,Michael Mills,5,64,71,60,Pass
388,Megan Griffin,10,71,88,88,Pass
389,Benjamin Garcia,5,55,60,56,Fail
390,Adrienne Montgomery,7,64,40,59,Fail
391,Leonard Russell,9,73,45,64,Pass
392,Shelly Jimenez,5,70,66,60,Pass
393,Caitlin Kelly,1,56,62,44,Fail
394,Jennifer Davis,10,78,86,91,Pass
395,Anthony Olson,10,81,70,86,Pass
396,Donald Whitney,1,81,51,46,Fail
397,Heather Cline,2,54,60,40,Fail
398,James Williams,6,53,91,72,Pass
399,William Ramirez,9,71,41,68,Pass
400,Kevin Wilson,8,67,44,61,Pass
401,Deanna Cooke,5,84,48,56,Fail
402,Rebecca Holloway,1,66,59,44,Fail
403,Gina Price,7,99,85,93,Pass
404,Leonard Chambers,5,99,57,69,Pass
405,Todd Hanson,6,73,100,85,Pass
406,Katherine Wood,7,51,61,57,Fail
407,Bethany Francis,3,62,47,52,Fail
408,Tina Porter,10,64,73,83,Pass
409,Robert Owens,3,54,48,44,Fail
410,Vanessa Green,5,52,46,52,Fail
411,Regina Fleming,6,86,69,78,Pass
412,Sarah Gregory,9,86,100,87,Pass
413,Alisha Hall,5,86,57,61,Pass
414,Amy Moore,1,52,66,48,Fail
415,Elizabeth Stephens,4,84,55,59,Fail
416,Tanya Bray,5,72,60,63,Pass
417,Andrew Zhang,10,77,44,74,Pass
418,Alexis Cooley,10,79,94,94,Pass
419,Jennifer Lucas MD,5,67,68,61,Pass
420,Mr. Scott Potter,7,85,86,80,Pass
421,Kristen Hunt,4,82,76,75,Pass
422,Leah Keller,1,75,82,59,Fail
423,Kevin Murillo,5,97,61,75,Pass
424,Victoria Sweeney,7,89,53,76,Pass
425,John Berry,10,66,96,84,Pass
426,Jose Eaton,10,89,58,84,Pass
427,Sean Shaw,6,56,74,59,Fail
428,Brian Strickland,5,57,63,65,Pass
429,Kimberly Long,4,80,81,69,Pass
430,Samantha Mann,2,61,99,65,Pass
431,John Johnson,4,97,45,55,Fail
432,Brandy Jackson,10,80,99,91,Pass
433,Tiffany Dawson,10,93,97,98,Pass
434,Tony Hunt,3,68,42,47,Fail
435,Erin Rocha,10,59,73,75,Pass
436,Richard Rios,1,88,84,67,Pass
437,Dennis Carr,8,61,89,78,Pass
438,Jenny Li,5,69,41,47,Fail
439,Brooke Lee,4,86,54,63,Pass
440,Allison Watson,8,97,76,78,Pass
441,Sandra Hicks,7,90,54,60,Pass
442,Michelle Johnson,2,56,99,63,Pass
443,Erica Combs,1,63,71,45,Fail
444,Christopher White,4,60,60,55,Fail
445,Jimmy Flores,8,56,56,67,Pass
446,Mary Anderson,2,78,73,64,Pass
447,Breanna Palmer,3,59,71,58,Fail
448,Dana Lin,1,78,89,55,Fail
449,Logan Vaughn,1,58,86,51,Fail
450,Jonathan Reed,3,85,91,71,Pass
451,Breanna Perez,5,97,62,69,Pass
452,Jennifer Hurst,3,59,74,52,Fail
453,Destiny Shaffer,1,68,76,51,Fail
454,Joshua Campbell,1,80,82,64,Pass
455,Caitlin Thornton,8,66,80,78,Pass
456,Tony Tucker,10,58,76,76,Pass
457,Michelle Ramirez,2,94,96,78,Pass
458,Charles Rasmussen,3,82,72,56,Fail
459,Carl Reyes,2,83,64,61,Pass
460,Angela Johnson,3,94,85,75,Pass
461,David Smith,7,73,76,77,Pass
462,Steven Shea,1,58,79,53,Fail
463,Jill Villarreal,10,56,60,68,Pass
464,Brandi Pace,8,65,85,80,Pass
465,Michelle Thompson,10,68,99,88,Pass
466,Cathy Gibson,10,88,87,92,Pass
467,Anthony Snyder,10,55,77,74,Pass
468,Kristin Collins,2,99,79,66,Pass
469,Denise Johnson,3,100,73,67,Pass
470,Kristen Perez,9,60,58,70,Pass
471,Jessica Fuentes,7,61,66,69,Pass
472,Brian Smith,4,91,48,67,Pass
473,Edward Tucker,10,62,44,67,Pass
474,Joshua Patrick,5,61,44,46,Fail
475,Nicholas Cabrera,2,70,64,57,Fail
476,Elizabeth Shepherd,8,59,65,69,Pass
477,Robert Smith,4,69,58,55,Fail
478,Michael Richardson,9,99,69,82,Pass
479,Heather White,5,85,75,67,Pass
480,Robert Lewis,9,77,87,82,Pass
481,Jose Lopez,4,73,87,63,Pass
482,Patrick Bowman,10,54,55,73,Pass
483,Robert Freeman,5,86,46,61,Pass
484,Lisa Ingram,9,61,57,69,Pass
485,Daniel Thomas,8,84,95,84,Pass
486,James Faulkner,3,89,60,65,Pass
487,Jonathan Koch,1,51,70,39,Fail
488,Megan Medina,3,99,40,54,Fail
489,Dawn Gregory,4,90,42,61,Pass
490,Bobby Mitchell,2,94,70,52,Fail
491,Michele Green,1,88,64,56,Fail
492,Donald Anderson,7,91,92,82,Pass
493,James Calhoun,8,58,47,61,Pass
494,Pamela Nguyen,7,71,40,56,Fail
495,Joshua Lopez,5,96,46,65,Pass
496,Kevin Hayes,1,54,46,44,Fail
497,Todd Thomas,7,61,47,71,Pass
498,Brandi Gray,7,50,58,59,Fail
499,Brandon Jordan,9,93,56,81,Pass
500,Laura Chapman,3,71,50,52,Fail
501,Bethany Bates,9,87,86,90,Pass
502,Lindsay Fields,1,100,80,72,Pass
503,Ashley Daniels,1,68,88,55,Fail
504,Amy Smith,4,65,50,50,Fail
505,Tamara Beasley,9,80,77,81,Pass
506,Sandra Peterson,6,100,80,75,Pass
507,Rebekah Gonzalez,3,52,89,60,Pass
508,Kimberly Melton,1,72,91,64,Pass
509,Amy Mcbride,4,91,41,60,Pass
510,Stephen Morgan,9,67,43,63,Pass
511,Zachary Hall,3,75,89,73,Pass
512,Terri Tapia,9,62,67,62,Pass
513,Emily Murray,7,67,72,82,Pass
514,Jessica Fletcher,4,52,50,50,Fail
515,Michelle Robinson,3,72,42,45,Fail
516,Warren Nixon,10,52,79,80,Pass
517,Carolyn Moore,5,74,44,54,Fail
518,Jessica Terry,5,76,91,64,Pass
519,Ruth Jones,3,93,60,61,Pass
520,Terri Johnson,9,76,61,79,Pass
521,Antonio Griffin,4,88,93,80,Pass
522,Paul Carr DVM,5,74,76,69,Pass
523,Charles Lozano,4,73,99,78,Pass
524,Philip Fox,5,57,50,54,Fail
525,Nicole Faulkner,7,58,83,73,Pass
526,Cynthia Nixon,9,95,61,76,Pass
527,Jose Smith,7,86,80,77,Pass
528,Mark Schultz,5,79,92,74,Pass
529,Mrs. Sarah Woods,10,68,52,73,Pass
530,Jacob Campos MD,10,65,93,91,Pass
531,Samuel Price,7,73,91,76,Pass
532,Megan Graham,10,93,100,91,Pass
533,Ashlee Harris,5,70,42,60,Pass
534,Michelle Brock,3,85,52,50,Fail
535,Kathleen Lopez,7,89,67,77,Pass
536,Kimberly Craig,2,88,93,71,Pass
537,Robin Moses,9,96,50,74,Pass
538,Lisa Bullock,10,55,50,70,Pass
539,Michael Barber,10,54,60,64,Pass
540,Jerry Harris,1,63,91,66,Pass
541,Meghan Davis,6,94,60,83,Pass
542,Heather Ross,7,91,46,73,Pass
543,Peter White,8,99,56,72,Pass
544,Zachary Henson,10,53,87,69,Pass
545,Rachel Lopez,9,57,53,68,Pass
546,Brent Mahoney,2,73,72,50,Fail
547,Emily Reynolds,10,60,50,66,Pass
548,Joseph Smith,2,66,52,54,Fail
549,Cassidy West,5,99,40,69,Pass
550,Kevin Velasquez,5,70,73,74,Pass
551,Seth Thomas,6,75,48,60,Pass
552,Sarah Green,3,92,52,62,Pass
553,Kimberly Ramirez,8,97,76,74,Pass
554,Eric Contreras,1,93,69,51,Fail
555,Kimberly Larson,6,94,80,77,Pass
556,David Alexander,4,76,84,73,Pass
557,Jason Hawkins,1,65,76,51,Fail
558,Alexandria Johnson,7,75,86,82,Pass
559,Mr. Antonio Arnold,9,82,46,64,Pass
560,Lisa Nolan,4,80,53,58,Fail
561,Jacob Mayo,4,97,87,79,Pass
562,Jared Johnson,6,96,45,69,Pass
563,Martin Melendez,3,55,73,52,Fail
564,Kirsten Allison,6,93,55,68,Pass
565,Sarah Wallace,7,57,90,66,Pass
566,Robert Smith,10,56,76,77,Pass
567,Rebecca Craig,10,83,75,90,Pass
568,Kenneth Cruz,3,93,85,70,Pass
569,Ana Diaz,7,63,98,75,Pass
570,Matthew Murillo,3,65,45,50,Fail
571,Angela Avery,2,92,47,64,Pass
572,Casey Moore,10,58,63,83,Pass
573,Kristen Barnes,4,59,42,48,Fail
574,Heather Adams,8,66,43,65,Pass
575,Mary Shaw,9,61,71,82,Pass
576,Michelle Wilson DVM,7,55,40,55,Fail
577,Oscar Carter,1,68,73,55,Fail
578,Samantha Callahan,3,92,84,69,Pass
579,Christopher Edwards,9,90,48,85,Pass
580,Vanessa Rosario,1,78,51,50,Fail
581,Darlene Martinez,9,55,49,62,Pass
582,Monica Jones MD,8,74,49,63,Pass
583,Donald Richards,1,73,89,51,Fail
584,Sheila Ferguson,6,74,83,65,Pass
585,Alexandra Wang,5,65,93,68,Pass
586,David Brooks,6,65,87,77,Pass
587,Leonard Guerrero,10,55,62,73,Pass
588,Courtney Berger,5,86,45,53,Fail
589,Rose Miller,6,70,63,60,Pass
590,Shane West,5,53,96,71,Pass
591,Richard Jenkins,5,83,63,73,Pass
592,Colton Payne,4,77,60,54,Fail
593,Victoria Jones,3,87,95,75,Pass
594,Caitlin Scott,3,90,81,66,Pass
595,Christina Smith,4,77,70,61,Pass
596,Jeffrey Ingram,9,66,86,75,Pass
597,James Kane,2,63,97,67,Pass
598,Douglas Kim,9,56,80,73,Pass
599,Daniel Brooks,1,71,69,50,Fail
600,John Ruiz,1,100,95,76,Pass
601,Christopher Waters,5,50,73,64,Pass
602,William Brown,6,78,57,61,Pass
603,Karen Oconnell,6,80,51,64,Pass
604,Joseph Walker,3,79,74,67,Pass
605,Keith Wright,7,64,46,58,Fail
606,Erica Larsen,9,67,80,82,Pass
607,Caleb Stewart,10,84,79,85,Pass
608,Erica Diaz,8,99,64,78,Pass
609,Katie Braun,6,79,45,55,Fail
610,Diane Leon,8,83,40,73,Pass
611,Michele Williams,5,91,85,74,Pass
612,Charles Harris,8,60,55,60,Pass
613,Michelle Richardson DDS,10,76,99,87,Pass
614,Carolyn Russell,4,73,87,69,Pass
615,Gabriela Hood,10,84,43,67,Pass
616,William Young,8,88,68,74,Pass
617,Douglas Macdonald,10,57,77,82,Pass
618,Angela Spence,2,100,86,73,Pass
619,Christopher Hayes,5,67,67,55,Fail
620,Christopher Bell,9,62,61,74,Pass
621,Juan Potts,4,94,47,59,Fail
622,Mr. Justin Howard,6,73,71,74,Pass
623,Jerry Alvarado,1,100,72,69,Pass
